class,count
Cyprinus_rubrofuscus,13
Charadrius_morinellus,13
Sterna_paradisaea,13
Porzana_parva,12
Cyanistes_cyanus,12
Clupea_harengus,12
Ichthyaetus_ichthyaetus,12
Lyrurus_tetrix,12
Pelecanus_crispus,12
Barbus_barbus,12
Anthus_petrosus,12
Ammodytes_tobianus,12
Scophthalmus_maximus,11
Apodemus_sylvaticus,11
Glareola_nordmanni,11
Gavia_immer,11
Leuciscus_leuciscus,11
Emberiza_bruniceps,11
Iduna_caligata,11
Zamenis_longissimus,11
Sicista_betulina,11
Aegypius_monachus,10
Lampetra_fluviatilis,10
Alburnoides_bipunctatus,10
Oryctolagus_cuniculus,10
Anser_erythropus,10
Perccottus_glenii,10
Neogobius_fluviatilis,10
Prunella_montanella,10
Vanellus_gregarius,10
Emberiza_pusilla,9
Oxyura_jamaicensis,9
Gyps_fulvus,9
Stercorarius_parasiticus,9
Alle_alle,9
Osmerus_eperlanus,9
Carassius_carassius,9
Ardea_purpurea,9
Strix_nebulosa,8
Oenanthe_hispanica,8
Oncorhynchus_mykiss,8
Otus_scops,8
Tringa_stagnatilis,8
Romanogobio_belingi,8
Larus_delawarensis,8
Pomatoschistus_minutus,8
Cairina_moschata,8
Phylloscopus_proregulus,8
Pluvialis_dominica,8
Melanitta_stejnegeri,8
Coturnix_coturnix,8
Aegolius_funereus,8
Numida_meleagris,8
Uria_aalge,8
Proterorhinus_semilunaris,7
Melopsittacus_undulatus,7
Phylloscopus_trochiloides,7
Tyto_alba,7
Gavia_adamsii,7
Hypophthalmichthys_molitrix,7
Leuciscus_aspius,7
Polysticta_stelleri,7
Anthus_cervinus,7
Myoxocephalus_scorpius,7
Sprattus_sprattus,6
Elanus_caeruleus,6
Capra_hircus,6
Calcarius_lapponicus,6
Sorex_alpinus,6
Anser_indicus,6
Pleuronectes_platessa,6
Myiopsitta_monachus,6
Larus_schistisagus,6
Rissa_tridactyla,5
Spermophilus_citellus,5
Surnia_ulula,5
Vimba_vimba,5
Calidris_melanotos,5
Myotis_mystacinus,5
Porzana_porzana,5
Larus_argentatus_x_marinus,5
Nymphicus_hollandicus,5
Pomatoschistus_microps,5
Larus_smithsonianus,5
Marmota_marmota,5
Prunella_atrogularis,5
Lepomis_gibbosus,5
Gelochelidon_nilotica,5
Gobius_niger,5
Microtus_subterraneus,5
Canis_aureus,4
Loxia_pytyopsittacus,4
Loxia_leucoptera,4
Gadus_morhua,4
Mareca_americana,4
Pelecanus_onocrotalus,4
Stercorarius_skua,4
Anthus_godlewskii,4
Cottus_gobio,4
Myotis_emarginatus,4
Gavia_pacifica,4
Mauremys_sinensis,4
Circaetus_gallicus,4
Thymallus_thymallus,4
Chondrostoma_nasus,4
Xema_sabini,4
Iduna_rama,4
Lampetra_planeri,4
Phylloscopus_fuscatus,4
Saxicola_maurus,4
Acrocephalus_dumetorum,3
Cottus_microstomus,3
Puffinus_griseus,3
Morus_bassanus,3
Psittacula_derbiana,3
Rhodostethia_rosea,3
Aythya_fuligula_x_marila,3
Sabanejewia_baltica,3
Salmo_salar,3
Pluvialis_fulva,3
Callonetta_leucophrys,3
Branta_hutchinsii,3
Phylloscopus_inornatus,3
Vanellus_spinosus,3
Tarsiger_cyanurus,3
Eremophila_alpestris,3
Spatula_discors,3
Xenus_cinereus,3
Calidris_fuscicollis,3
Limnodromus_scolopaceus,3
Pastor_roseus,3
Chionomys_nivalis,3
Stercorarius_longicaudus,3
Ameiurus_melas,2
Lanius_senator,2
Hieraaetus_pennatus,2
Coregonus_lavaretus,2
Falco_cherrug,2
Actitis_macularius,2
Glareola_pratincola,2
Romanogobio_albipinnatus,2
Aythya_collaris,2
Plegadis_falcinellus,2
Pipistrellus_kuhlii,2
Ardeola_ralloides,2
Bubulcus_ibis,2
Sibirionetta_formosa,2
Somateria_spectabilis,2
Oxyura_leucocephala,2
Ovis_aries,2
Calidris_tenuirostris,2
Hyperoplus_lanceolatus,2
Motacilla_tschutschensis,2
Charadrius_leschenaultii,2
Hypophthalmichthys_nobilis,2
Emberiza_rustica,1
Emberiza_leucocephalos,1
Felis_silvestris,1
Gallus_gallus,1
Dryomys_nitedula,1
Geopelia_cuneata,1
Grus_canadensis,1
Zoarces_viviparus,1
Babka_gymnotrachelus,1
Mauremys_reevesii,1
Anthus_richardi,1
Pseudemys_nelsoni,1
Scomber_scombrus,1
Phoca_vitulina,1
Calandrella_brachydactyla,1
Calidris_acuminata,1
Pelecus_cultratus,1
Oenanthe_leucopyga,1
Oenanthe_isabellina,1
Oenanthe_deserti,1
Anas_bahamensis,1
Cepphus_grylle,1
Streptopelia_orientalis,1
Charadrius_alexandrinus,1
Ballerus_sapa,1
Sturnus_unicolor,1
Chenonetta_jubata,1
Meleagris_gallopavo,1
Melanocorypha_calandra,1
Charadrius_asiaticus,1
